Crash ID,State,Month,Year,Dayweek,Time,Crash Type,Speed Limit,Road User,Gender,Age,National Remoteness Areas,SA4 Name 2021,National LGA Name 2021,National Road Type,Christmas Period,Easter Period,Age Group,Day of week,Time of day,Number of Fatalities,National LGA NAme 2021,Time of Day
20234068,SA,Sep,2023,Tuesday,1900-01-01 18:01:00,Single,40,Motorcycle rider,Male,25,Major Cities of Australia,Adelaide - West,Charles Sturt,Sub-arterial Road,No,No,17_to_25,Weekday,Night,-9,,
20232179,Vic,Sep,2023,Saturday,1900-01-01 00:44:00,Single,-9,Driver,Female,39,,,,,No,No,26_to_39,Weekend,Night,-9,,
20233061,Qld,Sep,2023,Saturday,1900-01-01 04:00:00,Single,100,Driver,Male,21,Inner Regional Australia,Wide Bay,South Burnett,National or State Highway,No,No,17_to_25,Weekend,Night,-9,,
20232025,Vic,Sep,2023,Thursday,1900-01-01 18:15:00,Single,-9,Motorcycle rider,Male,60,,,,,No,No,40_to_64,Weekday,Night,-9,,
20234027,SA,Sep,2023,Saturday,1900-01-01 17:00:00,Single,60,Motorcycle rider,Male,20,Major Cities of Australia,Adelaide - North,Port Adelaide Enfield,Arterial Road,No,No,17_to_25,Weekend,Day,-9,,
20233181,Qld,Sep,2023,Saturday,1900-01-01 17:00:00,Single,100,Driver,Male,17,Inner Regional Australia,Wide Bay,Fraser Coast,Sub-arterial Road,No,No,17_to_25,Weekend,Day,-9,,
20231027,NSW,Sep,2023,Saturday,1900-01-01 17:00:00,Multiple,100,Driver,Male,27,Outer Regional Australia,New England and North West,Gwydir,Sub-arterial Road,No,No,26_to_39,Weekend,Day,-9,,
20231033,NSW,Sep,2023,Sunday,1900-01-01 16:40:00,Single,100,Driver,Male,30,Inner Regional Australia,Coffs Harbour - Grafton,Coffs Harbour,Sub-arterial Road,No,No,26_to_39,Weekend,Day,-9,,
20232008,Vic,Sep,2023,Sunday,1900-01-01 10:10:00,Multiple,100,Driver,Male,51,Inner Regional Australia,Ballarat,Moorabool,Sub-arterial Road,No,No,40_to_64,Weekend,Day,-9,,
20234008,SA,Sep,2023,Saturday,1900-01-01 14:24:00,Single,80,Motorcycle rider,Male,45,Inner Regional Australia,Adelaide - Central and Hills,Adelaide Hills,Arterial Road,No,No,40_to_64,Weekend,Day,-9,,
20233161,Qld,Sep,2023,Sunday,1900-01-01 10:00:00,Multiple,100,Motorcycle rider,Male,58,Inner Regional Australia,Darling Downs - Maranoa,Southern Downs,National or State Highway,No,No,40_to_64,Weekend,Day,-9,,
20231076,NSW,Sep,2023,Saturday,1900-01-01 15:30:00,Single,100,Driver,Male,57,Remote Australia,Central West,Lachlan,Arterial Road,No,No,40_to_64,Weekend,Day,-9,,
20233025,Qld,Sep,2023,Saturday,1900-01-01 12:00:00,Multiple,100,Motorcycle rider,Male,52,Inner Regional Australia,Wide Bay,Fraser Coast,Collector Road,No,No,40_to_64,Weekend,Day,-9,,
20232072,Vic,Sep,2023,Saturday,1900-01-01 15:38:00,Single,-9,Driver,Male,55,,,,,No,No,40_to_64,Weekend,Day,-9,,
20233084,Qld,Sep,2023,Saturday,1900-01-01 09:00:00,Single,100,Motorcycle rider,Male,53,Outer Regional Australia,Moreton Bay - North,Somerset,Local Road,No,No,40_to_64,Weekend,Day,-9,,
20232044,Vic,Sep,2023,Saturday,1900-01-01 13:58:00,Multiple,-9,Motorcycle rider,Male,41,,,,,No,No,40_to_64,Weekend,Day,-9,,
20231157,NSW,Sep,2023,Saturday,1900-01-01 10:00:00,Multiple,80,Passenger,Male,63,Inner Regional Australia,Far West and Orana,Dubbo Regional,National or State Highway,No,No,40_to_64,Weekend,Day,-9,,
20235050,WA,Sep,2023,Saturday,1900-01-01 07:31:00,Single,110,Passenger,Female,57,,,,,No,No,40_to_64,Weekend,Day,-9,,
20235050,WA,Sep,2023,Saturday,1900-01-01 07:31:00,Single,110,Passenger,Female,56,,,,,No,No,40_to_64,Weekend,Day,-9,,
20233059,Qld,Sep,2023,Saturday,1900-01-01 11:00:00,Multiple,100,Motorcycle rider,Male,71,Outer Regional Australia,Mackay - Isaac - Whitsunday,Mackay,Local Road,No,No,65_to_74,Weekend,Day,-9,,
20235103,WA,Sep,2023,Sunday,1900-01-01 11:58:00,Single,60,Driver,Female,66,,,,,No,No,65_to_74,Weekend,Day,-9,,
20235103,WA,Sep,2023,Sunday,1900-01-01 11:58:00,Single,60,Driver,Male,73,,,,,No,No,65_to_74,Weekend,Day,-9,,
20232050,Vic,Sep,2023,Saturday,1900-01-01 17:05:00,Single,-9,Driver,Male,46,,,,,No,No,40_to_64,Weekend,Day,-9,,
20232107,Vic,Sep,2023,Sunday,1900-01-01 09:53:00,Multiple,-9,Motorcycle rider,Male,26,,,,,No,No,26_to_39,Weekend,Day,-9,,
20235062,WA,Sep,2023,Sunday,1900-01-01 11:44:00,Single,110,Passenger,Female,8,,,,,No,No,0_to_16,Weekend,Day,-9,,
20232073,Vic,Sep,2023,Saturday,1900-01-01 14:20:00,Single,-9,Motorcycle rider,Male,18,,,,,No,No,17_to_25,Weekend,Day,-9,,
20235053,WA,Sep,2023,Sunday,1900-01-01 06:25:00,Single,110,Passenger,Male,19,,,,,No,No,17_to_25,Weekend,Day,-9,,
20235016,WA,Sep,2023,Wednesday,1900-01-01 17:10:00,Single,70,Passenger,Male,24,,,,,No,No,17_to_25,Weekday,Day,-9,,
20235016,WA,Sep,2023,Wednesday,1900-01-01 17:10:00,Single,70,Driver,Male,24,,,,,No,No,17_to_25,Weekday,Day,-9,,
20234084,SA,Sep,2023,Monday,1900-01-01 15:20:00,Single,60,Driver,Male,24,Major Cities of Australia,Adelaide - Central and Hills,Adelaide Hills,Sub-arterial Road,No,No,17_to_25,Weekday,Day,-9,,
20233032,Qld,Sep,2023,Friday,1900-01-01 12:00:00,Multiple,60,Motorcycle rider,Male,20,Major Cities of Australia,Brisbane - South,Brisbane,Local Road,No,No,17_to_25,Weekday,Day,-9,,
20231006,NSW,Sep,2023,Monday,1900-01-01 15:34:00,Multiple,110,Driver,Male,24,Outer Regional Australia,Riverina,Murrumbidgee,National or State Highway,No,No,17_to_25,Weekday,Day,-9,,
20232093,Vic,Sep,2023,Friday,1900-01-01 11:00:00,Multiple,-9,Motorcycle rider,Male,31,,,,,No,No,26_to_39,Weekday,Day,-9,,
20231203,NSW,Sep,2023,Monday,1900-01-01 16:52:00,Multiple,60,Motorcycle rider,Male,27,Major Cities of Australia,Sydney - Inner West,Burwood,Arterial Road,No,No,26_to_39,Weekday,Day,-9,,
20233009,Qld,Sep,2023,Friday,1900-01-01 11:00:00,Multiple,100,Driver,Female,32,Inner Regional Australia,Darling Downs - Maranoa,Toowoomba,National or State Highway,No,No,26_to_39,Weekday,Day,-9,,
20231103,NSW,Sep,2023,Friday,1900-01-01 14:50:00,Multiple,60,Motorcycle rider,Male,29,Major Cities of Australia,Sydney - Eastern Suburbs,Randwick,Local Road,No,No,26_to_39,Weekday,Day,-9,,
20233177,Qld,Sep,2023,Monday,1900-01-01 08:00:00,Single,100,Driver,Male,35,Very Remote Australia,Queensland - Outback,Flinders (Qld),National or State Highway,No,No,26_to_39,Weekday,Day,-9,,
20233203,Qld,Sep,2023,Friday,1900-01-01 12:00:00,Multiple,-9,Motorcycle rider,Male,51,Outer Regional Australia,Cairns,Douglas,National or State Highway,No,No,40_to_64,Weekday,Day,-9,,
20231207,NSW,Sep,2023,Monday,1900-01-01 12:10:00,Single,50,Motorcycle rider,Male,60,Outer Regional Australia,New England and North West,Tamworth Regional,Access road,No,No,40_to_64,Weekday,Day,-9,,
20231198,NSW,Sep,2023,Tuesday,1900-01-01 16:00:00,Single,60,Driver,Male,47,Major Cities of Australia,Sydney - Outer West and Blue Mountains,Penrith,Arterial Road,No,No,40_to_64,Weekday,Day,-9,,
20233070,Qld,Sep,2023,Wednesday,1900-01-01 17:00:00,Single,80,Driver,Female,55,Outer Regional Australia,Wide Bay,South Burnett,Local Road,No,No,40_to_64,Weekday,Day,-9,,
20233063,Qld,Sep,2023,Friday,1900-01-01 07:00:00,Multiple,40,Driver,Female,52,Major Cities of Australia,Sunshine Coast,Sunshine Coast,Local Road,No,No,40_to_64,Weekday,Day,-9,,
20234062,SA,Sep,2023,Monday,1900-01-01 14:25:00,Single,-9,Pedal cyclist,Male,64,Major Cities of Australia,Adelaide - South,Onkaparinga,Local Road,No,No,40_to_64,Weekday,Day,-9,,
20233200,Qld,Sep,2023,Wednesday,1900-01-01 13:00:00,Multiple,110,Driver,Male,49,Very Remote Australia,Queensland - Outback,McKinlay,National or State Highway,No,No,40_to_64,Weekday,Day,-9,,
20235016,WA,Sep,2023,Wednesday,1900-01-01 17:10:00,Single,70,Passenger,Male,21,,,,,No,No,17_to_25,Weekday,Day,-9,,
20231090,NSW,Sep,2023,Tuesday,1900-01-01 06:50:00,Multiple,80,Driver,Male,50,Major Cities of Australia,Sydney - Blacktown,Blacktown,Collector Road,No,No,40_to_64,Weekday,Day,-9,,
20232190,Vic,Sep,2023,Wednesday,1900-01-01 15:05:00,Single,-9,Driver,Female,61,,,,,No,No,40_to_64,Weekday,Day,-9,,
20234066,SA,Sep,2023,Tuesday,1900-01-01 15:25:00,Single,50,Motorcycle rider,Male,41,Inner Regional Australia,Adelaide - Central and Hills,Adelaide Hills,Arterial Road,No,No,40_to_64,Weekday,Day,-9,,
20231142,NSW,Sep,2023,Tuesday,1900-01-01 11:00:00,Single,100,Motorcycle rider,Male,65,Outer Regional Australia,Central West,Lithgow,Arterial Road,No,No,65_to_74,Weekday,Day,-9,,
20232129,Vic,Sep,2023,Wednesday,1900-01-01 15:10:00,Multiple,-9,Driver,Female,67,,,,,No,No,65_to_74,Weekday,Day,-9,,
20234030,SA,Sep,2023,Monday,1900-01-01 12:19:00,Single,60,Driver,Male,72,Outer Regional Australia,South Australia - South East,Berri Barmera,Arterial Road,No,No,65_to_74,Weekday,Day,-9,,
20233067,Qld,Sep,2023,Tuesday,1900-01-01 11:00:00,Multiple,70,Motorcycle rider,Male,71,Inner Regional Australia,Gold Coast,Gold Coast,Sub-arterial Road,No,No,65_to_74,Weekday,Day,-9,,
20232091,Vic,Sep,2023,Thursday,1900-01-01 19:13:00,Single,-9,Pedestrian,Male,25,,,,,No,No,17_to_25,Weekday,Night,-9,,
20233122,Qld,Sep,2023,Monday,1900-01-01 15:00:00,Multiple,60,Driver,Male,84,Major Cities of Australia,Brisbane - West,Brisbane,Sub-arterial Road,No,No,75_or_older,Weekday,Day,-9,,
20231032,NSW,Sep,2023,Tuesday,1900-01-01 11:30:00,Single,100,Passenger,Female,84,Inner Regional Australia,Murray,Greater Hume,Arterial Road,No,No,75_or_older,Weekday,Day,-9,,
20233056,Qld,Sep,2023,Friday,1900-01-01 12:00:00,Multiple,110,Passenger,Female,81,Remote Australia,Darling Downs - Maranoa,Maranoa,National or State Highway,No,No,75_or_older,Weekday,Day,-9,,
20236006,Tas,Sep,2023,Friday,1900-01-01 13:20:00,Single,110,Passenger,Male,70,Outer Regional Australia,West and North West,Devonport,National or State Highway,No,No,65_to_74,Weekday,Day,-9,,
20235017,WA,Sep,2023,Wednesday,1900-01-01 17:18:00,Single,110,Driver,Male,22,,,,,No,No,17_to_25,Weekday,Day,-9,,
20233014,Qld,Sep,2023,Monday,1900-01-01 09:00:00,Single,100,Driver,Male,25,Remote Australia,Central Queensland,Livingstone,National or State Highway,No,No,17_to_25,Weekday,Day,-9,,
20235023,WA,Sep,2023,Tuesday,1900-01-01 13:55:00,Single,70,Passenger,Female,86,,,,,No,No,75_or_older,Weekday,Day,-9,,
20231216,NSW,Sep,2023,Saturday,1900-01-01 01:18:00,Single,110,Pedestrian,Male,32,Major Cities of Australia,Richmond - Tweed,Tweed,National or State Highway,No,No,26_to_39,Weekend,Night,-9,,
20233029,Qld,Sep,2023,Sunday,1900-01-01 17:00:00,Single,60,Pedestrian,Male,12,Major Cities of Australia,Sunshine Coast,Sunshine Coast,Sub-arterial Road,No,No,0_to_16,Weekend,Day,-9,,
20232115,Vic,Sep,2023,Saturday,1900-01-01 10:00:00,Single,-9,Pedestrian,Female,87,,,,,No,No,75_or_older,Weekend,Day,-9,,
20233098,Qld,Sep,2023,Friday,1900-01-01 13:00:00,Single,60,Pedestrian,Male,62,Major Cities of Australia,Gold Coast,Gold Coast,Local Road,No,No,40_to_64,Weekday,Day,-9,,
20232051,Vic,Sep,2023,Friday,1900-01-01 20:05:00,Single,-9,Pedestrian,Male,64,,,,,No,No,40_to_64,Weekend,Night,-9,,
20234028,SA,Sep,2023,Thursday,1900-01-01 12:30:00,Single,10,Pedestrian,Male,73,Major Cities of Australia,Adelaide - North,Salisbury,Local Road,No,No,65_to_74,Weekday,Day,-9,,
20231241,NSW,Sep,2023,Friday,1900-01-01 09:00:00,Single,60,Pedestrian,Female,84,Major Cities of Australia,Sydney - South West,Fairfield,Arterial Road,No,No,75_or_older,Weekday,Day,-9,,
20231239,NSW,Sep,2023,Wednesday,1900-01-01 08:13:00,Single,50,Pedestrian,Male,85,Inner Regional Australia,Capital Region,Eurobodalla,Sub-arterial Road,No,No,75_or_older,Weekday,Day,-9,,
20232006,Vic,Sep,2023,Thursday,1900-01-01 15:20:00,Single,-9,Pedestrian,Female,88,,,,,No,No,75_or_older,Weekday,Day,-9,,
20231206,NSW,Sep,2023,Monday,1900-01-01 18:00:00,Single,100,Pedestrian,Male,80,Inner Regional Australia,Capital Region,Goulburn Mulwaree,Sub-arterial Road,No,No,75_or_older,Weekday,Night,-9,,
20231044,NSW,Aug,2023,Friday,1900-01-01 21:50:00,Single,60,Passenger,Male,9,Major Cities of Australia,Sydney - Inner South West,Bayside,Arterial Road,No,No,0_to_16,Weekend,Night,-9,,
20231059,NSW,Aug,2023,Friday,1900-01-01 22:50:00,Multiple,60,Motorcycle rider,Male,21,Major Cities of Australia,Sydney - Baulkham Hills and Hawkesbury,Hornsby,Local Road,No,No,17_to_25,Weekend,Night,-9,,
20233131,Qld,Aug,2023,Saturday,1900-01-01 02:00:00,Multiple,60,Passenger,Male,17,Major Cities of Australia,Gold Coast,Gold Coast,Sub-arterial Road,No,No,17_to_25,Weekend,Night,-9,,
20231005,NSW,Aug,2023,Saturday,1900-01-01 18:00:00,Multiple,50,Motorcycle rider,Male,23,Major Cities of Australia,Sydney - Parramatta,Parramatta,Collector Road,No,No,17_to_25,Weekend,Night,-9,,
20232071,Vic,Aug,2023,Sunday,1900-01-01 18:54:00,Multiple,50,Driver,Female,38,Major Cities of Australia,Melbourne - West,Brimbank,Local Road,No,No,26_to_39,Weekend,Night,-9,,
20236016,Tas,Aug,2023,Saturday,1900-01-01 23:00:00,Single,100,Driver,Male,38,Outer Regional Australia,West and North West,Circular Head,Sub-arterial Road,No,No,26_to_39,Weekend,Night,-9,,
20235013,WA,Aug,2023,Thursday,1900-01-01 03:55:00,Single,110,Driver,Male,36,,,,,No,No,26_to_39,Weekday,Night,-9,,
20232024,Vic,Aug,2023,Friday,1900-01-01 20:50:00,Multiple,-9,Motorcycle rider,Male,28,,,,,No,No,26_to_39,Weekend,Night,-9,,
20236022,Tas,Aug,2023,Monday,1900-01-01 03:23:00,Single,80,Passenger,Male,36,Inner Regional Australia,Launceston and North East,Launceston,Local Road,No,No,26_to_39,Weekend,Night,-9,,
20232154,Vic,Aug,2023,Tuesday,1900-01-01 19:25:00,Multiple,-9,Motorcycle rider,Male,26,,,,,No,No,26_to_39,Weekday,Night,-9,,
20232145,Vic,Aug,2023,Sunday,1900-01-01 23:18:00,Single,80,Driver,Female,53,Inner Regional Australia,Latrobe - Gippsland,Baw Baw,Sub-arterial Road,No,No,40_to_64,Weekend,Night,-9,,
20233205,Qld,Aug,2023,Sunday,1900-01-01 20:00:00,Single,100,Driver,Male,64,Outer Regional Australia,Central Queensland,Gladstone,National or State Highway,No,No,40_to_64,Weekend,Night,-9,,
20231209,NSW,Aug,2023,Saturday,1900-01-01 20:55:00,Multiple,100,Driver,Male,43,Inner Regional Australia,Sydney - Outer South West,Wollondilly,Arterial Road,No,No,40_to_64,Weekend,Night,-9,,
20231154,NSW,Aug,2023,Saturday,1900-01-01 19:15:00,Single,80,Driver,Male,43,Outer Regional Australia,Richmond - Tweed,Richmond Valley,Sub-arterial Road,No,No,40_to_64,Weekend,Night,-9,,
20231167,NSW,Aug,2023,Friday,1900-01-01 18:00:00,Multiple,50,Motorcycle rider,Male,44,Remote Australia,Far West and Orana,Coonamble,Arterial Road,No,No,40_to_64,Weekend,Night,-9,,
20233180,Qld,Aug,2023,Sunday,1900-01-01 18:00:00,Multiple,100,Driver,Male,67,Outer Regional Australia,Mackay - Isaac - Whitsunday,Whitsunday,Local Road,No,No,65_to_74,Weekend,Night,-9,,
20235069,WA,Aug,2023,Wednesday,1900-01-01 13:10:00,Single,110,Driver,Male,39,,,,,No,No,26_to_39,Weekday,Day,-9,,
20235006,WA,Aug,2023,Thursday,1900-01-01 15:39:00,Single,70,Motorcycle rider,Female,49,,,,,No,No,40_to_64,Weekday,Day,-9,,
20231038,NSW,Aug,2023,Friday,1900-01-01 23:45:00,Multiple,50,Passenger,Female,25,Major Cities of Australia,Sydney - Outer South West,Campbelltown,Local Road,No,No,17_to_25,Weekend,Night,-9,,
20231107,NSW,Aug,2023,Friday,1900-01-01 11:50:00,Single,50,Motorcycle rider,Male,63,Inner Regional Australia,Central West,Lithgow,Local Road,No,No,40_to_64,Weekday,Day,-9,,
20233103,Qld,Aug,2023,Saturday,1900-01-01 05:00:00,Single,100,Driver,Male,29,Very Remote Australia,Queensland - Outback,Barcoo,Collector Road,No,No,26_to_39,Weekend,Night,-9,,
20231044,NSW,Aug,2023,Friday,1900-01-01 21:50:00,Single,60,Passenger,Male,10,Major Cities of Australia,Sydney - Inner South West,Bayside,Arterial Road,No,No,0_to_16,Weekend,Night,-9,,
20231048,NSW,Aug,2023,Thursday,1900-01-01 05:45:00,Single,100,Driver,Male,25,Inner Regional Australia,Capital Region,Eurobodalla,National or State Highway,No,No,17_to_25,Weekday,Night,-9,,
20236014,Tas,Aug,2023,Thursday,1900-01-01 20:55:00,Single,80,Driver,Female,25,Outer Regional Australia,West and North West,Latrobe (Tas.),Collector Road,No,No,17_to_25,Weekday,Night,-9,,
20231191,NSW,Aug,2023,Monday,1900-01-01 20:20:00,Single,80,Driver,Male,20,Inner Regional Australia,Mid North Coast,Kempsey,Local Road,No,No,17_to_25,Weekday,Night,-9,,
