Crash ID,State,Month,Year,Dayweek,Time,Crash Type,Number of Fatalities,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,National Remoteness Areas,SA4 Name 2021,National LGA NAme 2021,National Road Type,Christmas Period,Easter Period,Day of week,Time of Day,Road User,Gender,Age,Age Group
20161071,NSW,10,2016,Monday,11:03:00,Multiple,1,No,No,No,50,Major Cities of Australia,Sydney - Blacktown,Blacktown,Local Road,No,No,Weekday,Day,Motorcycle rider,Male,14,0_to_16
20164065,SA,10,2016,Wednesday,06:15:00,Multiple,1,No,No,No,100,Major Cities of Australia,Adelaide - South,Onkaparinga,Arterial Road,No,No,Weekday,Day,Driver,Male,38,26_to_39
20162017,Vic,10,2016,Monday,16:14:00,Multiple,1,No,No,No,80,Major Cities of Australia,Melbourne - South East,Cardinia,Access road,No,No,Weekday,Day,Driver,Female,45,40_to_64
20161209,NSW,10,2016,Tuesday,15:20:00,Multiple,1,No,Yes,No,100,Inner Regional Australia,Richmond - Tweed,Ballina,National or State Highway,No,No,Weekday,Day,Driver,Female,35,26_to_39
20161110,NSW,10,2016,Tuesday,14:20:00,Multiple,1,No,No,No,110,Inner Regional Australia,Riverina,Cootamundra-Gundagai,National or State Highway,No,No,Weekday,Day,Motorcycle rider,Male,37,26_to_39
20161356,NSW,10,2016,Thursday,16:30:00,Single,1,No,No,No,100,Inner Regional Australia,Southern Highlands and Shoalhaven,Wingecarribee,Sub-arterial Road,No,No,Weekday,Day,Motorcycle rider,Male,36,26_to_39
20162147,Vic,10,2016,Tuesday,09:25:00,Multiple,1,No,No,Yes,60,Major Cities of Australia,Melbourne - South East,Monash,Arterial Road,No,No,Weekday,Day,Driver,Male,61,40_to_64
20161352,NSW,10,2016,Thursday,15:09:00,Single,1,No,No,No,110,Outer Regional Australia,Far West and Orana,Warrumbungle,National or State Highway,No,No,Weekday,Day,Passenger,Female,76,75_or_older
20161047,NSW,10,2016,Friday,16:15:00,Multiple,2,No,No,Yes,110,Outer Regional Australia,New England and North West,Moree Plains,National or State Highway,No,No,Weekday,Day,Driver,Male,61,40_to_64
20161047,NSW,10,2016,Friday,16:15:00,Multiple,2,No,No,Yes,110,Outer Regional Australia,New England and North West,Moree Plains,National or State Highway,No,No,Weekday,Day,Driver,Female,48,40_to_64
20162051,Vic,10,2016,Tuesday,15:20:00,Multiple,1,No,Yes,No,100,Inner Regional Australia,Latrobe - Gippsland,Baw Baw,Arterial Road,No,No,Weekday,Day,Driver,Female,49,40_to_64
20167018,NT,10,2016,Friday,17:10:00,Single,1,No,No,No,110,Very Remote Australia,Northern Territory - Outback,Roper Gulf,Arterial Road,No,No,Weekday,Day,Driver,Male,45,40_to_64
20163183,Qld,10,2016,Friday,07:00:00,Multiple,1,No,No,No,80,,,,,No,No,Weekday,Day,Driver,Male,29,26_to_39
20161202,NSW,10,2016,Monday,10:15:00,Multiple,1,No,No,No,80,Inner Regional Australia,Richmond - Tweed,Tweed,Arterial Road,No,No,Weekday,Day,Motorcycle rider,Male,22,17_to_25
20163138,Qld,10,2016,Thursday,08:00:00,Single,1,No,No,No,100,,,,,No,No,Weekday,Day,Driver,Male,76,75_or_older
20162038,Vic,10,2016,Thursday,09:40:00,Multiple,1,No,No,No,60,Major Cities of Australia,Melbourne - Inner South,Kingston (Vic.),Collector Road,No,No,Weekday,Day,Driver,Male,38,26_to_39
20162080,Vic,10,2016,Thursday,17:00:00,Single,1,No,No,No,50,Major Cities of Australia,Melbourne - Outer East,Knox,Collector Road,No,No,Weekday,Day,Pedal cyclist,Male,58,40_to_64
20161116,NSW,10,2016,Thursday,13:33:00,Multiple,2,No,Yes,Yes,80,Major Cities of Australia,Sydney - Outer West and Blue Mountains,Penrith,Collector Road,No,No,Weekday,Day,Driver,Male,46,40_to_64
20161116,NSW,10,2016,Thursday,13:33:00,Multiple,2,No,Yes,Yes,80,Major Cities of Australia,Sydney - Outer West and Blue Mountains,Penrith,Collector Road,No,No,Weekday,Day,Driver,Male,49,40_to_64
20161238,NSW,10,2016,Tuesday,07:00:00,Multiple,1,No,No,No,70,Major Cities of Australia,Illawarra,Shellharbour,Collector Road,No,No,Weekday,Day,Motorcycle rider,Male,56,40_to_64
20163195,Qld,10,2016,Saturday,23:00:00,Single,1,No,No,No,60,,,,,No,No,Weekend,Night,Pedestrian,Male,22,17_to_25
20162153,Vic,10,2016,Monday,22:05:00,Single,1,No,No,No,80,Major Cities of Australia,Geelong,Greater Geelong,National or State Highway,No,No,Weekday,Night,Pedestrian,Female,45,40_to_64
20167013,NT,10,2016,Friday,19:54:00,Single,1,No,No,Yes,10,Outer Regional Australia,Darwin,Darwin,Local Road,No,No,Weekend,Night,Pedestrian,Male,46,40_to_64
20163163,Qld,10,2016,Saturday,04:00:00,Single,1,No,No,No,100,,,,,No,No,Weekend,Night,Pedestrian,Male,23,17_to_25
20161143,NSW,10,2016,Thursday,19:55:00,Single,1,No,No,No,60,Major Cities of Australia,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Arterial Road,No,No,Weekday,Night,Pedestrian,Male,56,40_to_64
20165038,WA,10,2016,Tuesday,19:35:00,Single,1,No,No,No,80,Major Cities of Australia,Perth - South West,Cockburn,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Night,Pedestrian,Male,48,40_to_64
20162218,Vic,10,2016,Saturday,13:22:00,Single,1,No,No,No,60,Major Cities of Australia,Melbourne - West,Wyndham,Local Road,No,No,Weekend,Day,Pedestrian,Male,59,40_to_64
20162124,Vic,10,2016,Saturday,20:45:00,Single,1,No,No,No,60,Major Cities of Australia,Melbourne - Inner,Moreland,Arterial Road,No,No,Weekend,Night,Pedestrian,Female,58,40_to_64
20161090,NSW,10,2016,Sunday,11:44:00,Single,1,Yes,No,No,50,Major Cities of Australia,Sydney - City and Inner South,Sydney,Arterial Road,No,No,Weekend,Day,Pedestrian,Female,79,75_or_older
